citedTitle	docid	citedWork	citedAuthor	hot	year	source_id
NONE	362595293	SSSA SPECIAL PUBLICA	GLADWIN CH	no	1997	WOS:000178112700014	
Does economic reform harm the environment? A review of structural adjustment in Malawi.	3355551	Journal of International Development	Cromwell, E.	yes	1993	WOS:000178112700014	
Soil nutrient status of smallholder farms in Malawi	27334676	COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	Snapp, SS	yes	1998	WOS:000178112700014	
NONE	28318561	STAT WIND	*STATSOFT	no	1995	WOS:000178112700014	
Colorimetric determination of ammonium	26851263	NONE	Anderson, J.M.	no	1989	WOS:000178112700014	
RETHINKING THE FARMERS ROLE IN PLANT-BREEDING - LOCAL BEAN EXPERTS AND ON-STATION SELECTION IN RWANDA	2904998	EXPERIMENTAL AGRICULTURE	SPERLING, L	yes	1993	WOS:000178112700014	
Soil nitrate dynamics in relation to nitrogen source and landscape position in Malawi	2351082	AGROFORESTRY SYSTEMS	Phiri, RH	yes	1999	WOS:000178112700014	
Improved fallows come of age in the tropics	2350720	AGROFORESTRY SYSTEMS	Sanchez, PA	yes	1999	WOS:000178112700014	
NONE	28319440	FIELD GUIDE FARM EXP	MUTSAERS HJW	no	1997	WOS:000178112700014	
NONE	28318871	RHOD AGR J	BLACKSHAW GN	no	1921	WOS:000178112700014	
EFFECT OF INTERCROPPING MAIZE AND CLOSELY SPACED LEUCAENA HEDGEROWS ON SOIL CONSERVATION AND MAIZE YIELD ON A STEEP SLOPE AT NTCHEU, MALAWI	2351237	AGROFORESTRY SYSTEMS	BANDA, AZ	yes	1994	WOS:000178112700014	
LEARNING FROM 6 REASONS WHY FARMERS DO NOT ADOPT INNOVATIONS INTENDED TO IMPROVE SUSTAINABILITY OF UPLAND AGRICULTURE	14133190	AGRICULTURAL SYSTEMS	FUJISAKA, S	yes	1994	WOS:000178112700014	
NONE	403130637	961 CIMMYT	HEISEY PW	no	1996	WOS:000178112700014	
STUDIES ON MAIZE (ZEA-MAYS) AT BUNDA, MALAWI .2. YIELD IN SHORT ROTATIONS WITH LEGUMES	6977235	EXPERIMENTAL AGRICULTURE	MACCOLL, D	yes	1989	WOS:000178112700014	
Partnership with Malawian farmers to develop organic matter technologies	2351454	OUTLOOK ON AGRICULTURE	Kanyama-Phiri, G	yes	1998	WOS:000178112700014	
Land use, land management and environment in a subsistence mountain economy in Nepal	17817063	AGRICULTURE ECOSYSTEMS & ENVIRONMENT	Thapa, GB	yes	1996	WOS:000178112700014	
NONE	28318519	GUID AGR PROD	*MAL MIN AGR LIV D	no	1995	WOS:000178112700014	
NONE	28319473	GRAIN LEGUMES DEV PR	PHIRI MAR	no	1999	WOS:000178112700014	
NONE	28319696	P INT WORKSH FOOD SE	SNAPP SS	no	1999	WOS:000178112700014	
NONE	28318515	MAL PART LIV ASS EX	*CARE INT	no	1998	WOS:000178112700014	
NONE	28319839	AGR SYST	VERSTEEG MN	no	1993	WOS:000178112700014	
NONE	27747844	AGR ECOSYST ENVIRON	SNAPP SS	no	1998	WOS:000178112700014	
Participatory action research and quantitative analysis for nutrient management in southern Mali. a fruitful marriage?	16265850	AGRICULTURE ECOSYSTEMS & ENVIRONMENT	Defoer, T	yes	1998	WOS:000178112700014	
Farmer acceptability criteria in breeding cowpea	28319330	EXPERIMENTAL AGRICULTURE	Kitch, LW	yes	1998	WOS:000178112700014	
NONE	28318906	PHYSICAL ENV CENTRAL	BROWN P	no	1965	WOS:000178112700014	
Spatial and temporal variation in fertilizer recommendations for maize grown by smallholders in Malawi	28318815	Maize Commodity Team Annual Report	Benson, T. D.	no	1997	WOS:000178112700014	
NONE	294206810	MANAGING AFRICAS SOI	KANYAMAPHIRI GY	no	2000	WOS:000178112700014	
The results of some short term rotation experiments in Nyasaland.	23298544	Rhodesia Agricultural Journal	BROWN, P.	yes	1958	WOS:000178112700014	
Soil fertility management in Southern Africa	396752242	Africa's Emerging Maize Revolution	Kumwenda, J.D.T.	no	1997	WOS:000178112700014	
NONE	28319562	RECONNAISSANCE SURVE	ROHRBACH DD	no	1997	WOS:000178112700014	
Aspects of design of on-farm fertilizer trials	28319043	EXPERIMENTAL AGRICULTURE	Fielding, WJ	yes	1998	WOS:000178112700014	
INTERCROPPING AND DIVERSITY - AN ECONOMIC-ANALYSIS OF CROPPING PATTERNS ON SMALLHOLDER FARMS IN MALAWI	20092656	EXPERIMENTAL AGRICULTURE	SHAXSON, L	yes	1992	WOS:000178112700014	
