source_id	docid	citedTitle	citedWork	citedAuthor	hot	year
WOS:000178112700014	362595293	NONE	SSSA SPECIAL PUBLICA	GLADWIN CH	no	1997
WOS:000178112700014	3355551	Does economic reform harm the environment? A review of structural adjustment in Malawi.	Journal of International Development	"Cromwell, E."	yes	1993
WOS:000178112700014	27334676	Soil nutrient status of smallholder farms in Malawi	COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	"Snapp, SS"	yes	1998
WOS:000178112700014	28318561	NONE	STAT WIND	*STATSOFT	no	1995
WOS:000178112700014	26851263	Colorimetric determination of ammonium	NONE	"Anderson, J.M."	no	1989
WOS:000178112700014	2904998	RETHINKING THE FARMERS ROLE IN PLANT-BREEDING - LOCAL BEAN EXPERTS AND ON-STATION SELECTION IN RWANDA	EXPERIMENTAL AGRICULTURE	"SPERLING, L"	yes	1993
WOS:000178112700014	2351082	Soil nitrate dynamics in relation to nitrogen source and landscape position in Malawi	AGROFORESTRY SYSTEMS	"Phiri, RH"	yes	1999
WOS:000178112700014	2350720	Improved fallows come of age in the tropics	AGROFORESTRY SYSTEMS	"Sanchez, PA"	yes	1999
WOS:000178112700014	28319440	NONE	FIELD GUIDE FARM EXP	MUTSAERS HJW	no	1997
WOS:000178112700014	28318871	NONE	RHOD AGR J	BLACKSHAW GN	no	1921
WOS:000178112700014	2351237	"EFFECT OF INTERCROPPING MAIZE AND CLOSELY SPACED LEUCAENA HEDGEROWS ON SOIL CONSERVATION AND MAIZE YIELD ON A STEEP SLOPE AT NTCHEU, MALAWI"	AGROFORESTRY SYSTEMS	"BANDA, AZ"	yes	1994
WOS:000178112700014	14133190	LEARNING FROM 6 REASONS WHY FARMERS DO NOT ADOPT INNOVATIONS INTENDED TO IMPROVE SUSTAINABILITY OF UPLAND AGRICULTURE	AGRICULTURAL SYSTEMS	"FUJISAKA, S"	yes	1994
WOS:000178112700014	403130637	NONE	961 CIMMYT	HEISEY PW	no	1996
WOS:000178112700014	6977235	"STUDIES ON MAIZE (ZEA-MAYS) AT BUNDA, MALAWI .2. YIELD IN SHORT ROTATIONS WITH LEGUMES"	EXPERIMENTAL AGRICULTURE	"MACCOLL, D"	yes	1989
WOS:000178112700014	2351454	Partnership with Malawian farmers to develop organic matter technologies	OUTLOOK ON AGRICULTURE	"Kanyama-Phiri, G"	yes	1998
WOS:000178112700014	17817063	"Land use, land management and environment in a subsistence mountain economy in Nepal"	AGRICULTURE ECOSYSTEMS & ENVIRONMENT	"Thapa, GB"	yes	1996
WOS:000178112700014	28318519	NONE	GUID AGR PROD	*MAL MIN AGR LIV D	no	1995
WOS:000178112700014	28319473	NONE	GRAIN LEGUMES DEV PR	PHIRI MAR	no	1999
WOS:000178112700014	28319696	NONE	P INT WORKSH FOOD SE	SNAPP SS	no	1999
WOS:000178112700014	28318515	NONE	MAL PART LIV ASS EX	*CARE INT	no	1998
WOS:000178112700014	28319839	NONE	AGR SYST	VERSTEEG MN	no	1993
WOS:000178112700014	27747844	NONE	AGR ECOSYST ENVIRON	SNAPP SS	no	1998
WOS:000178112700014	16265850	Participatory action research and quantitative analysis for nutrient management in southern Mali. a fruitful marriage?	AGRICULTURE ECOSYSTEMS & ENVIRONMENT	"Defoer, T"	yes	1998
WOS:000178112700014	28319330	Farmer acceptability criteria in breeding cowpea	EXPERIMENTAL AGRICULTURE	"Kitch, LW"	yes	1998
WOS:000178112700014	28318906	NONE	PHYSICAL ENV CENTRAL	BROWN P	no	1965
WOS:000178112700014	28318815	Spatial and temporal variation in fertilizer recommendations for maize grown by smallholders in Malawi	Maize Commodity Team Annual Report	"Benson, T. D."	no	1997
WOS:000178112700014	294206810	NONE	MANAGING AFRICAS SOI	KANYAMAPHIRI GY	no	2000
WOS:000178112700014	23298544	The results of some short term rotation experiments in Nyasaland.	Rhodesia Agricultural Journal	"BROWN, P."	yes	1958
WOS:000178112700014	396752242	Soil fertility management in Southern Africa	Africa's Emerging Maize Revolution	"Kumwenda, J.D.T."	no	1997
WOS:000178112700014	28319562	NONE	RECONNAISSANCE SURVE	ROHRBACH DD	no	1997
WOS:000178112700014	28319043	Aspects of design of on-farm fertilizer trials	EXPERIMENTAL AGRICULTURE	"Fielding, WJ"	yes	1998
WOS:000178112700014	20092656	INTERCROPPING AND DIVERSITY - AN ECONOMIC-ANALYSIS OF CROPPING PATTERNS ON SMALLHOLDER FARMS IN MALAWI	EXPERIMENTAL AGRICULTURE	"SHAXSON, L"	yes	1992
WOS:000178112700014	403433626	NONE	P S GEOGR CROWD WORL	MORTIMORE MJ	no	1970
WOS:000168678400004	18402514	"EFFECT OF IRRIGATION ON YIELD AND WATER-USE OF INDIAN MUSTARD (BRASSICA-JUNCEA), ROCKET SALAD (ERUCA-SATIVA), SAFFLOWER (CARTHAMUS-TINCTORIUS) AND PIGEONPEA (CAJANUS-CAJAN)"	INDIAN JOURNAL OF AGRICULTURAL SCIENCES	"SINGH, R"	yes	1992
WOS:000168678400004	360155747	NONE	ANN REP 1986	*ICRISAT	no	1987
WOS:000168678400004	2287558	Phosphorus.	Methods of soil analysis. Part 2. Chemical and microbiological properties	"Olsen, S. R."	yes	1982
WOS:000168678400004	701693	Nitrogen-inorganic forms	Methods of soil analysis. Part 2	"Keeney, D.R."	no	1982
